#ID	start_group[0-10]	arrival_time_s_after_start
M3383	2	1385.0
P2764	2	1385.0
M3872	2	1387.0
M2249	2	1387.0
M2396	2	1388.0
P2179	2	1389.0
M3901	3	1389.0
M3451	2	1389.0
M1092	1	1389.0
M3083	3	1390.0
M2157	2	1391.0
M10039	2	1392.0
M3999	2	1392.0
M1129	1	1392.0
M1086	1	1393.0
M3796	2	1394.0
P1625	2	1394.0
M2278	2	1395.0
M3767	2	1395.0
M2090	2	1396.0
P2172	3	1396.0
M2204	2	1396.0
M2047	2	1397.0
M7994	2	1397.0
M2113	2	1397.0
M4191	2	1397.0
M2272	2	1398.0
P2247	3	1399.0
M3763	2	1400.0
P2395	2	1400.0
M2057	2	1400.0
M3992	2	1401.0
F83	0	1402.0
V1173	2	1402.0
P2358	2	1403.0
M1222	1	1403.0
P2538	2	1403.0
P2380	2	1404.0
P1252	2	1404.0
M2065	2	1404.0
M3231	2	1405.0
P1298	2	1406.0
M2156	2	1406.0
M2203	2	1407.0
M2300	2	1407.0
M2207	2	1408.0
M11010	2	1411.0
M3263	2	1411.0
M3591	3	1411.0
M5216	2	1412.0
M3624	2	1412.0
M3334	2	1413.0
M2043	2	1413.0
V1189	2	1413.0
M4698	2	1413.0
P1052	2	1413.0
M3711	2	1414.0
M2066	2	1414.0
M4792	2	1414.0
M3275	2	1414.0
M3370	3	1415.0
M2399	2	1415.0
M3760	2	1417.0
M3235	3	1417.0
M2180	2	1418.0
M3894	2	1419.0
M4194	3	1420.0
M3769	3	1420.0
M2112	2	1421.0
M3933	3	1421.0
M3846	2	1422.0
M2252	2	1422.0
M3677	3	1423.0
P2301	3	1423.0
P1293	2	1423.0
M3290	3	1423.0
M2354	2	1426.0
M3356	2	1426.0
M3794	2	1426.0
F2006	2	1426.0
M3352	2	1427.0
M11682	2	1427.0
M2269	2	1427.0
M11300	2	1427.0
M2122	2	1427.0
P1922	2	1427.0
M2175	2	1428.0
M3879	2	1428.0
P2917	1	1428.0
M3203	3	1428.0
M2275	2	1429.0
M2133	2	1429.0
P1034	2	1429.0
M2344	2	1429.0
M2067	2	1430.0
M3886	3	1430.0
M2356	2	1431.0
